Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4533544,2016,Xe cũ,"Chevrolet Colorado High Country 2.8L 4x4 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.8 L",số tự động,90000,570 Triệu
4566423,2018,Xe cũ,"Chevrolet Trailblazer LT 2.5L VGT 4x2 AT",Hà Nội,Xe nhập khẩu,màu bạc,"máy dầu 2.5 L",số tự động,55000,688 Triệu
4811699,2020,Xe cũ,"Honda City 1.5TOP",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,49000,525 Triệu
4609200,2023,Xe mới,"Ford Ranger XLS 2.0L 4x2 MT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.2 L",số tay,0,615 Triệu
4142961,2015,Xe cũ,"Jaguar XJ series XJL 2.0 Portfolio",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 2.0 L",số tự động,52000,2 Tỷ 280 Triệu
4718283,2010,Xe cũ,"Porsche Panamera 3.6 V6",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 3.6 L",số tự động,75000,1 Tỷ 450 Triệu
4758947,2019,Xe cũ,"Mercedes Benz G class G63 AMG",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 4.0 L",số tự động,28000,10 Tỷ 900 Triệu
4142963,2019,Xe cũ,"Lexus LS 500h",TP HCM,Xe nhập khẩu,màu nâu,"xe hybrid 3.5 L",số tự động,25000,6 Tỷ 250 Triệu
4836066,2021,Xe cũ,"Audi Q8 55 TFSI S-Line Quattro",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 3.0 L",số tự động,5000,4 Tỷ 399 Triệu
4840403,2021,Xe cũ,"Honda Civic G",TP HCM,Xe nhập khẩu,màu bạc,"máy xăng",số tự động,19000,660 Triệu
4813127,2022,Xe cũ,"Mercedes Benz E class E200 Exclusive",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,7500,2 Tỷ 229 Triệu
4814299,2021,Xe cũ,"Mercedes Benz C class C300 AMG",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,11999,1 Tỷ 699 Triệu
4838210,2021,Xe cũ,"Mercedes Benz E class E200 Exclusive",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng",số tự động,10000,2 Tỷ 59 Triệu
4482352,2022,Xe mới,"Suzuki XL7 1.5 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,0,545 Triệu
4610150,2022,Xe mới,"Toyota Land Cruiser 3.5 V6",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 3.4 L",số tự động,0,4 Tỷ 196 Triệu
4435805,2022,Xe mới,"Toyota Avanza Premio 1.5 AT",Hà Nội,Xe nhập khẩu,màu bạc,"máy xăng 1.5 L",số tự động,0,568 Triệu
4435822,2022,Xe mới,"Toyota Corolla Cross 1.8V",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.8 L",số tự động,0,805 Triệu
4284591,2022,Xe mới,"Toyota Corolla altis 1.8V",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 1.8 L",số tự động,0,720 Triệu
4668915,2022,Xe mới,"Toyota Camry 2.5Q",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.5 L",số tự động,0,1 Tỷ 370 Triệu
4240846,2022,Xe mới,"Toyota Camry 2.0G",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 2.0 L",số tự động,0,1 Tỷ 20 Triệu
4055461,2022,Xe mới,"Toyota Raize G 1.0 CVT",Hà Nội,Xe nhập khẩu,màu xanh,"máy xăng 1.0 L",số tự động,0,527 Triệu
4617947,2022,Xe mới,"Toyota Fortuner 2.4L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.4 L",số tự động,0,1 Tỷ 18 Triệu
4630403,2022,Xe mới,"Toyota Fortuner Legender 2.4L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.4 L",số tự động,0,1 Tỷ 200 Triệu
4394741,2022,Xe mới,"Toyota Veloz Cross 1.5 CVT",Hà Nội,Xe nhập khẩu,màu bạc,"máy xăng 1.5 L",số tự động,0,610 Triệu
4291195,2022,Xe mới,"Toyota Veloz Cross Top 1.5 CVT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,0,648 Triệu
4827986,2022,Xe cũ,"Kia Sportage Signature 2.0D",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.0 L",số tự động,8000,1 Tỷ 85 Triệu
4556682,2020,Xe cũ,"Ford Ranger Wildtrak 2.0L 4x4 AT",Hà Nội,Xe nhập khẩu,màu đen,"máy dầu 2.0 L",số tự động,30000,795 Triệu
4696260,2019,Xe cũ,"Hyundai Tucson 2.0 AT CRDi",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy dầu 2.0 L",số tự động,30000,835 Triệu
4829848,2018,Xe cũ,"Mercedes Benz E class E200",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,40000,1 Tỷ 330 Triệu
